NGO_Name,Focus_Area,NGO_Type,State,City,Registration_Number,Active_Projects,Year_Started,Contact_Email,Funding_Level,Volunteers,Awards,Rating
HopeCare Foundation,Human Trafficking,Domestic Abuse Support,Kerala,Chennai,60427,33,2000,support@yahoo.com,High,238,Best NGO Award,Good
StopTraffick Mission,Cyber Crime,Cyber Safety,Uttar Pradesh,Lucknow,94831,37,2008,support@yahoo.com,Medium,570,National Excellence Award,Excellent
Parivartan Society,Rape Cases,Cyber Safety,Kerala,Bengaluru,71255,40,2001,support@yahoo.com,Low,1851,Best NGO Award,Average
SecureFuture Org,Domestic Violence,Women Rights,Rajasthan,Jaipur,93554,52,2009,info@gmail.com,Low,131,National Excellence Award,Very Good
SaveWomen Foundation,Domestic Violence,Legal Aid,Rajasthan,Ahmedabad,67603,36,2017,info@gmail.com,Low,1304,Best NGO Award,Good
CyberSafe Org,Child Labour,Legal Aid,Kerala,Delhi,33011,3,2020,contact@ngo.org,Medium,1336,Child Safety Award,Average
RescueKids NGO,Women Harassment,Legal Aid,Maharashtra,Chennai,76153,5,2008,contact@ngo.org,Low,334,Best NGO Award,Average
SaveWomen Foundation,Child Abuse,Women Rights,Tamil Nadu,Kochi,99037,24,2017,contact@ngo.org,High,1602,None,Average
SecureFuture Org,Human Trafficking,Child Protection,Maharashtra,Mumbai,45116,50,2010,contact@ngo.org,Low,1595,National Excellence Award,Very Good
RescueKids NGO,Cyber Crime,Legal Aid,Tamil Nadu,Mumbai,69337,51,2018,contact@ngo.org,Medium,1452,Humanity Service Award,Average
StopTraffick Mission,Human Trafficking,Legal Aid,Delhi,Lucknow,34372,19,2013,info@gmail.com,High,1129,Women Empowerment Award,Good
RescueKids NGO,Domestic Violence,Child Protection,Delhi,Delhi,76841,35,1985,info@gmail.com,High,1348,Child Safety Award,Excellent
JusticeForAll NGO,Women Harassment,Cyber Safety,Gujarat,Chennai,17745,31,1994,info@gmail.com,Medium,1489,Humanity Service Award,Good
ChildHelp India,Human Trafficking,Legal Aid,Gujarat,Kochi,87295,28,1998,contact@ngo.org,Medium,1262,Best NGO Award,Average
RescueKids NGO,Domestic Violence,Counselling,Kerala,Delhi,66471,39,2010,contact@ngo.org,Medium,1299,Best NGO Award,Good
Parivartan Society,Child Abuse,Legal Aid,Delhi,Delhi,55510,53,2015,support@yahoo.com,High,1561,Women Empowerment Award,Average
RescueKids NGO,Domestic Violence,Anti-Trafficking,Gujarat,Jaipur,86669,37,1996,contact@ngo.org,Medium,300,Community Impact Award,Good
CyberSafe Org,Women Harassment,Anti-Trafficking,Rajasthan,Jaipur,73309,21,1990,info@gmail.com,Low,99,None,Excellent
StopTraffick Mission,Child Labour,Child Protection,Gujarat,Patna,46740,43,1988,info@gmail.com,Low,364,Humanity Service Award,Average
HopeCare Foundation,Child Abuse,Child Protection,Maharashtra,Jaipur,92853,10,2010,info@gmail.com,Medium,1830,Humanity Service Award,Excellent
SecureFuture Org,Rape Cases,Cyber Safety,Maharashtra,Patna,16279,5,1999,support@yahoo.com,High,1216,Best NGO Award,Excellent
SecureFuture Org,Domestic Violence,Domestic Abuse Support,West Bengal,Bengaluru,56880,30,2014,contact@ngo.org,High,1377,Humanity Service Award,Good
CyberSafe Org,Cyber Crime,Domestic Abuse Support,Uttar Pradesh,Bengaluru,86437,18,1995,support@yahoo.com,Medium,1553,Women Empowerment Award,Average
Parivartan Society,Domestic Violence,Legal Aid,Delhi,Lucknow,75795,52,1999,contact@ngo.org,Low,1574,Humanity Service Award,Average
Parivartan Society,Cyber Crime,Women Rights,Karnataka,Kolkata,44504,27,2019,support@yahoo.com,Low,1030,Humanity Service Award,Excellent
Udaan Trust,Child Labour,Anti-Trafficking,Rajasthan,Mumbai,12745,30,2006,contact@ngo.org,Medium,157,Women Empowerment Award,Good
ChildHelp India,Child Labour,Cyber Safety,Bihar,Delhi,95363,56,2014,info@gmail.com,Low,1239,Humanity Service Award,Good
WomenRise India,Rape Cases,Counselling,West Bengal,Kolkata,18776,34,1986,info@gmail.com,High,349,None,Very Good
WomenRise India,Domestic Violence,Anti-Trafficking,Maharashtra,Ahmedabad,10549,25,2001,support@yahoo.com,Low,200,Women Empowerment Award,Very Good
WomenRise India,Cyber Crime,Legal Aid,Maharashtra,Delhi,46022,5,2007,info@gmail.com,High,1857,Humanity Service Award,Very Good
ChildProtect Mission,Domestic Violence,Counselling,Rajasthan,Patna,41172,33,1998,support@yahoo.com,Low,541,Women Empowerment Award,Average
CyberSafe Org,Child Abuse,Women Rights,Kerala,Bengaluru,55735,13,1986,contact@ngo.org,High,895,Humanity Service Award,Average
CyberSafe Org,Women Harassment,Child Protection,Uttar Pradesh,Lucknow,74329,29,2004,support@yahoo.com,Low,1840,Humanity Service Award,Average
WomenRise India,Child Labour,Cyber Safety,Bihar,Chennai,18255,14,2001,contact@ngo.org,Low,1799,Humanity Service Award,Good
Udaan Trust,Human Trafficking,Women Rights,Uttar Pradesh,Kolkata,76106,34,2013,support@yahoo.com,High,1661,Child Safety Award,Good
Parivartan Society,Domestic Violence,Counselling,West Bengal,Jaipur,43961,59,2020,contact@ngo.org,Low,68,National Excellence Award,Good
